node_id,pod_id,cpu_usage,disk_usage,memory_usage,network_in(MB/sec),network_out(MB/sec),node_status,pod_count,node_failure,name_space,cpu_usage_pod,memory_usage_pod,restart_count,pod_status,pod_scheduled_latency(ms),pod_failure,service_name,network_latency,packet_loss(%),api_request_count,api_error_rate(%),network_issue,log_message,event_type,event_reason,service_disruption,timestamp,total_usage
1,1,0.7807807807807807,0.9859719438877754,0.668,0.344,0.65,2,0.54,False,13,0.8658658658658659,0.20904522613065327,0.0,3,0.8111678174722305,False,16,0.28025605121024205,0.1,0.5426341072858286,0.9018036072144289,True,24,12,17,True,24,2.434752724668556
4,18,0.4594594594594595,0.10921843687374748,0.32299999999999995,0.996,0.046,0,0.8200000000000001,False,12,0.5805805805805806,0.11457286432160804,0.4,0,0.605924146902832,False,5,0.03960792158431686,0.47000000000000003,0.37009607686148915,0.7364729458917836,False,6,20,30,False,347,0.8916778963332068
5,2,0.5705705705705706,0.624248496993988,0.187,0.679,0.295,0,1.0,False,2,0.95995995995996,0.135678391959799,0.6000000000000001,7,0.1331932352646853,False,18,0.9547909581916384,0.27,0.327662129703763,0.8296593186372746,False,15,4,32,False,140,1.3818190675645585
2,25,0.7327327327327328,0.3406813627254509,0.008,0.408,0.454,1,0.0,False,9,0.7317317317317317,0.5105527638190954,0.0,9,0.8760132092464726,False,18,0.3062612522504501,0.55,0.2397918334667734,0.6903807615230462,True,11,7,33,False,311,1.0814140954581837
5,16,0.3233233233233233,0.6943887775551102,0.373,0.542,0.8140000000000001,2,0.48,False,14,0.6206206206206206,0.9376884422110552,0.9,4,0.5761032722906034,False,10,0.6057211442288458,0.96,0.9939951961569254,0.19739478957915832,True,13,13,2,True,210,1.3907121008784333
0,28,0.11811811811811812,0.2865731462925852,0.745,0.242,0.845,1,0.66,True,3,0.07707707707707707,0.4231155778894472,0.30000000000000004,7,0.0720504353047133,True,12,0.9701940388077616,0.30000000000000004,0.48338670936749395,0.9929859719438878,True,2,10,39,True,196,1.1496912644107034
4,5,0.983983983983984,0.5691382765531062,0.423,0.971,0.858,1,0.06,True,4,0.5695695695695695,0.8422110552763818,0.7000000000000001,11,0.9717802461723206,False,10,0.027805561112222446,0.91,0.8616893514811849,0.21943887775551102,False,6,22,28,False,11,1.9761222605370903
2,24,0.5275275275275275,0.5691382765531062,0.5920000000000001,0.6609999999999999,0.045,0,0.66,True,2,0.5455455455455456,0.2613065326633166,0.7000000000000001,4,0.7218052636845793,False,12,0.7013402680536107,0.9800000000000001,0.5842674139311448,0.7635270541082164,True,9,1,26,True,4,1.688665804080634
2,9,0.4544544544544545,0.7384769539078156,0.299,0.337,0.493,2,0.16,False,6,0.41741741741741745,0.6130653266331658,0.4,7,0.4728309816871811,False,9,0.20144028805761152,0.17,0.4435548438751001,0.8857715430861723,False,8,23,22,True,263,1.4919314083622701
1,8,0.36436436436436437,0.8987975951903808,0.913,0.8940000000000001,0.161,2,0.36,False,7,0.5755755755755756,0.4542713567839196,0.6000000000000001,9,0.24377063944761337,True,5,0.4158831766353271,0.27999999999999997,0.5696557245796636,0.6913827655310621,True,7,5,13,False,12,2.1761619595547455
2,20,0.5095095095095096,0.6663326653306614,0.033,0.968,0.58,2,0.14,False,3,0.22522522522522523,0.28442211055276384,0.30000000000000004,11,0.975282697888522,True,9,0.7413482696539309,0.27,0.4175340272217774,0.0501002004008016,True,24,3,19,True,333,1.208842174840171
2,21,0.6496496496496497,0.033066132264529056,0.258,0.182,0.78,2,0.02,True,4,0.8548548548548549,0.03718592964824121,0.1,8,0.24206944861402985,True,2,0.07721544308861773,0.75,0.6797437950360288,0.8386773547094188,True,27,16,13,True,273,0.9407157819141787
2,10,0.30130130130130134,0.8476953907815631,0.995,0.783,0.307,0,0.72,True,3,0.8978978978978979,0.34472361809045227,0.30000000000000004,8,0.0011007705393775644,True,17,0.11422284456891378,0.9,0.11809447558046436,0.4769539078156313,False,5,9,25,True,16,2.1439966920828644
2,28,0.13113113113113112,0.3917835671342685,0.011000000000000001,0.915,0.43200000000000005,1,0.56,True,17,0.9889889889889889,0.7095477386934672,0.8,3,0.2992094466126289,True,7,0.3814762952590518,0.35000000000000003,0.2580064051240993,0.18537074148296595,False,21,17,4,True,235,0.5339146982653996
0,33,0.5025025025025025,0.39478957915831664,0.7000000000000001,0.335,0.182,1,0.46,False,11,0.982982982982983,0.7095477386934672,0.9,0,0.7234063844691284,True,4,0.05521104220844169,0.020000000000000004,0.4373498799039231,0.8957915831663327,False,16,7,30,False,253,1.5972920816608194
5,0,0.7697697697697697,0.7304609218436873,0.674,0.465,0.956,1,0.14,False,5,0.3333333333333333,0.7427135678391958,0.2,6,0.13919743820674474,False,12,0.09621924384876976,0.12,0.41553242594075257,0.9208416833667334,True,23,10,18,False,29,2.174230691613457
2,29,0.5445445445445446,0.2865731462925852,0.913,0.885,0.28300000000000003,2,0.18,False,11,0.06306306306306306,0.15175879396984926,1.0,11,0.3618532973081158,False,4,0.17563512702540507,0.43,0.6675340272217773,0.03106212424849699,False,13,19,28,True,234,1.7441176908371296
2,17,0.8008008008008007,0.8206412825651301,0.327,0.77,0.49700000000000005,2,0.92,True,4,0.93993993993994,0.8442211055276382,0.8,2,0.6500550385269689,True,0,0.26405281056211244,0.58,0.46917534027221774,0.42084168336673344,False,6,23,32,True,7,1.9484420833659308
3,6,0.7977977977977978,0.6402805611222444,0.557,0.308,0.523,0,0.2,True,12,0.7157157157157157,0.5748743718592965,0.0,9,0.2593815670969679,False,10,0.6123224644928986,0.4,0.7387910328262609,0.06913827655310621,False,21,2,38,True,183,1.9950783589200423
5,5,0.2012012012012012,0.5961923847695391,0.9470000000000001,0.935,0.546,1,0.68,True,9,0.4984984984984985,0.34271356783919593,0.5,8,0.9000300210147104,True,13,0.10162032406481296,0.38,0.4587670136108887,0.7965931863727455,True,10,17,10,True,275,1.7443935859707405
2,2,0.5055055055055055,0.5260521042084169,0.9670000000000001,0.685,0.276,1,0.58,False,13,0.3123123123123123,0.24924623115577887,0.7000000000000001,5,0.9811868307815472,False,7,0.5933186637327466,0.52,0.6196957566052841,0.6102204408817635,False,10,20,19,False,221,1.9985576097139224
5,7,0.2982982982982983,0.6533066132264529,0.858,0.026000000000000002,0.035,2,0.32,False,3,0.0990990990990991,0.549748743718593,0.9,4,0.6021214850395277,False,5,0.2484496899379876,0.13999999999999999,0.831865492393915,0.1663326653306613,False,17,3,32,True,97,1.8096049115247512
2,10,0.5105105105105106,0.32064128256513025,0.52,0.212,0.613,0,1.0,True,13,0.7727727727727728,0.27236180904522617,0.7000000000000001,8,0.21495046532572804,False,14,0.7409481896379275,0.8900000000000001,0.299839871897518,0.49999999999999994,True,1,4,38,False,226,1.351151793075641
3,10,0.38238238238238237,0.7344689378757515,0.147,0.9670000000000001,0.983,0,0.34,False,13,0.8688688688688688,0.9457286432160803,0.6000000000000001,1,0.5521865305714,True,10,0.9059811962392478,0.82,0.7373899119295435,0.023046092184368736,False,8,18,15,True,136,1.2638513202581338
2,14,0.7947947947947948,0.6513026052104208,0.685,0.419,0.133,0,0.02,True,15,0.7597597597597598,0.21407035175879396,0.6000000000000001,5,0.5936155308716101,True,4,0.8919783956791358,0.66,0.2397918334667734,0.6993987975951904,True,7,15,22,False,109,2.1310974000052156
2,6,0.22922922922922923,0.5200400801603207,0.022000000000000002,0.6809999999999999,0.687,2,0.86,False,9,0.4754754754754755,0.4050251256281407,1.0,0,0.9121384969478636,False,1,0.6147229445889179,0.34,0.6591273018414731,0.8196392785571143,False,5,14,2,True,26,0.77126930938955
1,5,0.5215215215215215,0.27655310621242485,0.45,0.281,0.738,2,0.56,True,5,0.17917917917917917,0.33266331658291454,0.8,5,0.11417992594816372,True,7,0.4812962592518504,0.58,0.310648518815052,0.28256513026052105,True,15,23,19,False,138,1.2480746277339465
3,20,0.34234234234234234,0.718436873747495,0.735,0.51,0.07200000000000001,2,0.54,False,15,0.011011011011011013,0.09246231155778895,1.0,10,0.3725607925547884,True,3,0.8923784756951391,0.8900000000000001,0.810648518815052,0.3887775551102204,True,28,13,34,True,190,1.7957792160898371
5,9,0.8368368368368369,0.8086172344689379,0.348,0.091,0.756,2,0.24,True,0,0.7997997997997999,0.8683417085427134,0.5,7,0.6585609926948864,False,4,0.7949589917983596,0.27999999999999997,0.21277021617293834,0.07014028056112223,False,4,12,12,False,165,1.993454071305775
1,14,0.6456456456456456,0.14228456913827656,0.9309999999999999,0.6459999999999999,0.122,1,0.6,False,12,0.7527527527527528,0.1577889447236181,0.1,5,0.17131992394676276,False,0,0.35247049409881975,0.25,0.8226581265012008,0.9609218436873748,True,4,16,27,True,279,1.718930214783922
5,5,0.6406406406406406,0.5240480961923848,0.9890000000000001,0.7690000000000001,0.761,1,0.38,False,9,0.10010010010010009,0.8814070351758794,0.7000000000000001,8,0.548784148904233,False,9,0.752750550110022,0.79,0.7836269015212168,0.967935871743487,True,14,16,18,False,317,2.1536887368330255
0,24,0.35735735735735735,0.47595190380761526,0.203,0.018000000000000002,0.888,1,0.5,True,1,0.16416416416416416,0.07236180904522614,0.0,3,0.1885319723806665,False,3,0.6871374274854971,0.7400000000000001,0.8340672538030424,0.5901803607214429,False,7,14,30,True,339,1.0363092611649727
0,14,0.8678678678678678,0.47695390781563124,0.762,0.256,0.549,2,0.26,False,4,0.01001001001001001,0.3165829145728643,0.0,4,0.25447813469428604,False,13,0.13402680536107223,0.24,0.41713370696557245,0.40280561122244485,False,8,1,19,True,180,2.106821775683499
5,30,0.7747747747747747,0.6963927855711423,0.752,0.29,0.33,2,0.46,False,14,0.6476476476476477,0.471356783919598,1.0,4,0.9529670769538678,True,19,0.005001000200040008,0.68,0.6935548438751,0.654308617234469,False,26,21,26,False,314,2.223167560345917
4,1,0.6226226226226226,0.06713426853707415,0.733,0.5579999999999999,0.596,2,0.8,True,17,0.4804804804804805,0.2321608040201005,0.30000000000000004,11,0.905133593515461,True,12,0.5197039407881576,0.42000000000000004,0.7868294635708566,0.8607214428857716,True,7,23,25,False,102,1.4227568911596968
1,7,0.966966966966967,0.722444889779559,0.941,0.326,0.239,0,0.08,True,6,0.5255255255255256,0.9457286432160803,0.9,0,0.33653557490243174,False,3,0.3496699339867974,0.81,0.6008807045636508,0.9098196392785571,False,21,1,19,False,133,2.630411856746526
5,14,0.916916916916917,0.08517034068136271,0.013999999999999999,0.5720000000000001,0.775,1,0.66,True,12,0.005005005005005005,0.9055276381909547,0.0,11,0.23466426498548987,True,3,0.6353270654130827,0.6000000000000001,0.8144515612489991,0.780561122244489,False,20,20,24,True,192,1.0160872575982798
5,31,0.07707707707707707,0.844689378757515,0.215,0.28600000000000003,0.022000000000000002,1,0.44,False,10,0.6256256256256256,0.657286432160804,0.6000000000000001,1,0.23166216351446015,False,15,0.0592118423684737,0.30000000000000004,0.31405124099279424,0.09619238476953906,True,27,11,2,False,28,1.136766455834592
5,33,0.14914914914914915,0.8577154308617234,0.48700000000000004,0.34,0.355,1,0.14,False,10,0.3893893893893894,0.907537688442211,0.2,10,0.6279395576903833,False,2,0.6815363072614523,0.010000000000000002,0.514611689351481,0.2865731462925851,True,4,3,26,True,22,1.4938645800108725
3,21,0.7367367367367368,0.1973947895791583,0.302,0.8490000000000001,0.79,0,0.9,True,7,0.5475475475475475,0.06532663316582915,0.8,8,0.7726408485940158,False,10,0.15543108621724344,0.04000000000000001,0.7714171337069655,0.05711422845691382,True,18,11,7,True,56,1.2361315263158952
4,18,0.7277277277277278,0.9719438877755511,0.8690000000000001,0.9990000000000001,0.171,2,0.28,True,5,0.947947947947948,0.44120603015075377,0.9,0,0.9163414390073051,False,14,0.9771954390878176,0.15000000000000002,0.3486789431545236,0.49999999999999994,False,5,22,5,True,227,2.5686716155032787
5,33,0.5525525525525525,0.2595190380761523,0.647,0.14800000000000002,0.20800000000000002,2,0.04,True,16,0.7257257257257257,0.32663316582914576,0.4,1,0.6769738817172022,False,1,0.24104820964192838,0.24,0.8861088871096876,0.44188376753507014,False,25,20,28,False,220,1.4590715906287048
3,24,0.6566566566566567,0.32965931863727455,0.8470000000000001,0.35600000000000004,0.561,1,0.96,False,10,0.7587587587587588,0.5376884422110553,0.4,8,0.41008706094265995,False,19,0.366873374674935,0.6200000000000001,0.007205764611689351,0.43687374749499,False,11,6,22,True,107,1.8333159752939314
0,2,0.8718718718718719,0.17935871743486975,0.024,0.6940000000000001,0.603,1,0.7000000000000001,False,10,0.01001001001001001,0.271356783919598,0.6000000000000001,1,0.1894326028219754,True,10,0.9829965993198639,0.82,0.05604483586869495,0.3196392785571142,False,15,21,29,True,223,1.0752305893067415
0,16,0.8468468468468469,0.03206412825651302,0.64,0.58,0.893,2,0.12,False,4,0.20020020020020018,0.9487437185929647,0.5,3,0.6616631642149505,True,14,0.15563112622524505,0.5,0.3917133706965572,0.7424849699398798,False,3,7,15,True,145,1.5189109751033598
4,20,0.6586586586586587,0.5360721442885772,0.271,0.556,0.255,1,0.78,False,14,0.27427427427427425,0.5728643216080402,0.9,9,0.7773441408986291,False,16,0.9387877575515103,0.58,0.2530024019215372,0.6132264529058116,False,23,13,14,False,338,1.465730802947236
4,22,0.5895895895895896,0.3096192384769539,0.462,0.162,0.617,1,0.9400000000000001,True,16,0.8428428428428428,0.5949748743718593,0.6000000000000001,1,0.15310717502251575,True,9,0.20604120824164834,0.13,0.0656525220176141,0.9488977955911824,True,25,21,2,False,84,1.3612088280665435
1,15,0.5085085085085085,0.719438877755511,0.278,0.7490000000000001,0.07200000000000001,0,0.92,True,13,0.18518518518518517,0.9115577889447236,0.30000000000000004,10,0.20084058841188834,False,1,0.1870374074814963,0.9199999999999999,0.7880304243394715,0.4599198396793587,False,27,2,9,False,271,1.5059473862640194
1,5,0.7087087087087088,0.8647294589178356,0.17500000000000002,0.159,0.281,0,0.62,True,12,0.967967967967968,0.22010050251256283,0.5,6,0.5115580906634645,False,18,0.4370874174834967,0.66,0.6168935148118494,0.125250501002004,True,23,8,31,False,266,1.7484381676265444
0,25,0.6846846846846847,0.782565130260521,0.9740000000000001,0.9540000000000001,0.937,1,0.4,False,13,0.3183183183183183,0.9939698492462311,0.5,4,0.44861402982087467,True,11,0.08141628325665133,0.8300000000000001,0.9637710168134507,0.8456913827655311,True,17,6,18,True,63,2.4412498149452055
4,12,0.012012012012012012,0.6743486973947895,0.37,0.45299999999999996,0.525,1,0.04,True,3,0.7297297297297298,0.01407035175879397,0.6000000000000001,6,0.16751726208345843,False,14,0.9383876775355071,0.38,0.7263811048839071,0.8146292585170342,False,3,9,20,False,179,1.0563607094068015
0,29,0.37137137137137144,0.9929859719438877,0.34500000000000003,0.7170000000000001,0.648,0,0.48,False,4,0.17017017017017017,0.7427135678391958,0.30000000000000004,0,0.0034023816671670177,False,13,0.19983996799359874,0.81,0.8815052041633306,0.17134268537074146,False,13,20,29,True,152,1.7093573433152591
2,4,0.2902902902902903,0.6903807615230461,0.8320000000000001,0.48,0.76,0,0.88,True,9,0.12112112112112111,0.4904522613065327,0.30000000000000004,10,0.8596017212048435,True,2,0.8095619123824764,0.67,0.9019215372297837,0.1843687374749499,False,14,12,26,True,108,1.8126710518133367
5,31,0.7177177177177178,0.23146292585170342,0.42,0.93,0.65,1,0.8,True,1,0.8548548548548549,0.34572864321608043,0.7000000000000001,10,0.14049834884419093,False,7,0.3164632926585317,0.49000000000000005,0.18134507606084868,0.8587174348697395,True,1,19,2,True,244,1.3691806435694212
2,32,0.9279279279279279,0.7034068136272545,0.557,0.919,0.465,1,0.36,True,12,0.44544544544544545,0.10753768844221107,0.7000000000000001,3,0.735314720304213,True,3,0.06941388277655532,0.8300000000000001,0.41232986389111287,0.09218436873747496,True,0,2,27,True,113,2.1883347415551824
3,20,0.34934934934934936,0.7094188376753506,0.244,0.7540000000000001,0.47500000000000003,0,0.04,False,3,0.5375375375375375,0.2241206030150754,0.7000000000000001,8,0.8086660662463725,False,9,0.16683336667333468,0.8400000000000001,0.13730984787830264,0.904809619238477,True,7,19,4,False,148,1.3027681870247
3,9,0.2772772772772773,0.3687374749498998,0.635,0.6459999999999999,0.578,1,0.8200000000000001,True,4,0.2912912912912913,0.05728643216080403,0.6000000000000001,11,0.2443710597418193,True,15,0.4540908181636327,0.5599999999999999,0.5278222578062449,0.4849699398797595,False,2,7,23,False,331,1.281014752227177
5,20,0.9209209209209209,0.06513026052104208,0.624,0.469,0.163,1,0.96,True,12,0.32132132132132135,0.821105527638191,0.30000000000000004,4,0.02922045431802262,True,18,0.10362072414482897,0.9,0.6811449159327461,0.3326653306613226,True,12,16,12,False,325,1.610051181441963
